Employee,EducLev,JobGrade,YrHired,YrBorn,Gender,PerfRev,ITJob,Salary,YrsExper,Age
190,4,1,2016,1996,0,5,1,55,3,22
191,4,1,2016,1996,1,2,1,53,3,22
192,4,2,2017,1996,1,3,0,54,2,22
193,4,2,2016,1996,1,4,0,64,2,22
194,3,3,2017,1996,0,5,1,68,3,22
195,2,2,2016,1996,1,6,0,75,1,22
196,2,1,2017,1997,1,6,1,57,3,21
197,3,1,2017,1997,1,4,1,55,0,21
198,4,2,2017,1997,0,4,0,51,2,21
199,3,2,2017,1997,1,4,1,66,0,21
200,4,2,2017,1997,1,3,0,62,2,21
201,3,1,2016,1997,1,7,1,74,1,21
202,3,2,2016,1997,0,7,0,64,2,21
203,2,1,2017,1998,0,3,1,62,1,20
204,2,2,2016,1998,1,5,1,60,1,20
205,2,1,2016,1998,0,7,1,68,2,20
206,1,1,2015,1999,0,5,1,55,2,19
207,3,1,2016,1999,1,6,0,55,1,19
208,2,1,2017,2001,1,6,0,59,0,17
209,2,1,2017,2001,0,2,1,42,0,17
